,store_name,product_ref,año,semana_num,num_facturas,EMA,demanda_ajustada,desviacion_ema%,coef_ventas,producto_costo_unitario
680,0,BAR02189125,0.0,0,0.0,0.0,0.0,0.0,0.0,17662.99
681,0,BAR02275125,0.0,0,0.0,0.0,0.0,0.0,0.0,13101.47
682,0,BAR02323125,0.0,0,0.0,0.0,0.0,0.0,0.0,55172.15
683,0,BAR02358125,0.0,0,0.0,0.0,0.0,0.0,0.0,90398.07
684,0,BAR02618125,0.0,0,0.0,0.0,0.0,0.0,0.0,438543.5
685,0,BAR02855125,0.0,0,0.0,0.0,0.0,0.0,0.0,55322.6
686,0,BAR02996125,0.0,0,0.0,0.0,0.0,0.0,0.0,62312.41
687,0,BAR03066125,0.0,0,0.0,0.0,0.0,0.0,0.0,14667.82
688,0,BAR03067125,0.0,0,0.0,0.0,0.0,0.0,0.0,13042.19
689,0,BAR03068125,0.0,0,0.0,0.0,0.0,0.0,0.0,27668.11
690,0,BAR03071125,0.0,0,0.0,0.0,0.0,0.0,0.0,15082.39
691,0,BAR03113125,0.0,0,0.0,0.0,0.0,0.0,0.0,28436.49
692,0,BAR03400125,0.0,0,0.0,0.0,0.0,0.0,0.0,83786.0
693,0,BAR04986125,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0
694,0,BAR08013125,0.0,0,0.0,0.0,0.0,0.0,0.0,148216.0
695,0,BAR08015125,0.0,0,0.0,0.0,0.0,0.0,0.0,226118.09
696,0,BAR08016125,0.0,0,0.0,0.0,0.0,0.0,0.0,171410.81
697,0,BAR08056125,0.0,0,0.0,0.0,0.0,0.0,0.0,56673.0
698,0,BAR08187125,0.0,0,0.0,0.0,0.0,0.0,0.0,317241.51
699,0,BAR08204125,0.0,0,0.0,0.0,0.0,0.0,0.0,329747.4
700,0,BAR09046125,0.0,0,0.0,0.0,0.0,0.0,0.0,130342.75
701,0,BAR09056125,0.0,0,0.0,0.0,0.0,0.0,0.0,46593.06
702,0,BAR12270125,0.0,0,0.0,0.0,0.0,0.0,0.0,55821.74
703,0,BAS00124125,0.0,0,0.0,0.0,0.0,0.0,0.0,5131.58
704,0,BAS00624125,0.0,0,0.0,0.0,0.0,0.0,0.0,222683.25
705,0,BAS00651125,0.0,0,0.0,0.0,0.0,0.0,0.0,152946.47
706,0,BAS00697125,0.0,0,0.0,0.0,0.0,0.0,0.0,241607.72
707,0,BAS00719125,0.0,0,0.0,0.0,0.0,0.0,0.0,42067.95
708,0,BAS02617125,0.0,0,0.0,0.0,0.0,0.0,0.0,316929.3
709,0,BAS07801125,0.0,0,0.0,0.0,0.0,0.0,0.0,28083.98
710,0,BAS07802125,0.0,0,0.0,0.0,0.0,0.0,0.0,66900.22
711,0,BAS07803125,0.0,0,0.0,0.0,0.0,0.0,0.0,26634.25
712,0,BAS07808125,0.0,0,0.0,0.0,0.0,0.0,0.0,47206.0
713,0,BAS07810125,0.0,0,0.0,0.0,0.0,0.0,0.0,80443.22
714,0,BAS07811125,0.0,0,0.0,0.0,0.0,0.0,0.0,18949.35
