,store_name,product_ref,Año,semana,Ema,Costo unitario,Venta costo EMA,Venta costo %,Acumulado costo,Desviacion EMA,Desviacion EMA %,acumulado_cantidad,coef_ventas,acumulado_desviacion,acumulado_desviacion_p,acumulado_combinado,Clasificacion,Nivel de servicio
25426,PRINCIPAL COTA,DCS00287137,2025.0,39,0.259551,91522.31,23754.71,0.0026,0.6088,18053.6,0.76,0.83,12.0,658605.98,1.0,0.76,A,0.98
5505,PRINCIPAL COTA,BCS00064125,2025.0,39,0.25918,22210.18,5756.43,0.0006,0.9125,4605.1,0.8,0.83,12.0,658606.78,1.0,0.85,B,0.95
25907,PRINCIPAL COTA,DCS00727189,2025.0,39,0.256804,19836.0,5093.96,0.0006,0.9269,1935.7,0.38,0.84,7.199999999999999,658607.16,1.0,0.87,B,0.95
4831,PRINCIPAL COTA,BCE00790125,2025.0,39,0.256,68351.72,17498.04,0.0019,0.7104,14873.3,0.85,0.84,12.0,658608.01,1.0,0.8,B,0.95
28303,PRINCIPAL COTA,DRBCOOLV035,2025.0,39,0.256,54700.0,14003.2,0.0015,0.7601,11902.7,0.85,0.84,12.0,658608.86,1.0,0.82,B,0.95
5723,PRINCIPAL COTA,BCS00197125,2025.0,39,0.256,38553.18,9869.61,0.0011,0.8406,8389.2,0.85,0.84,12.0,658609.71,1.0,0.84,B,0.95
6263,PRINCIPAL COTA,BCS00434125,2025.0,39,0.256,35555.09,9102.1,0.001,0.8531,7736.8,0.85,0.84,12.0,658610.56,1.0,0.84,B,0.95
18101,PRINCIPAL COTA,DAE01145136,2025.0,39,0.256,17942.69,4593.33,0.0005,0.9355,3904.3,0.85,0.84,12.0,658611.41,1.0,0.87,B,0.95
25171,PRINCIPAL COTA,DCS00035189,2025.0,39,0.256,4992.02,1277.96,0.0001,0.9908,1086.3,0.85,0.84,12.0,658612.26,1.0,0.88,B,0.95
27990,PRINCIPAL COTA,DLS00213189,2025.0,39,0.256,3794.84,971.48,0.0001,0.9937,825.8,0.85,0.84,12.0,658613.11,1.0,0.88,B,0.95
13339,PRINCIPAL COTA,DAB02738025,2025.0,39,0.255288,6922.56,1767.25,0.0002,0.9824,795.3,0.45,0.84,8.0,658613.56,1.0,0.88,B,0.95
11853,PRINCIPAL COTA,BLS00399125,2025.0,39,0.254555,44406.38,11303.87,0.0012,0.8164,9382.2,0.83,0.84,12.0,658614.39,1.0,0.83,B,0.95
5497,PRINCIPAL COTA,BCS00063125,2025.0,39,0.254266,19306.08,4908.88,0.0005,0.9285,2307.2,0.47,0.84,4.0,658614.86,1.0,0.87,B,0.95
186,PRINCIPAL COTA,ALB15W40131,2025.0,39,0.253444,339514.92,86048.02,0.0095,0.2002,37861.1,0.44,0.85,4.0,658615.3,1.0,0.66,A,0.98
13075,PRINCIPAL COTA,DAB02010025,2025.0,39,0.252562,48517.13,12253.58,0.0013,0.8048,7842.3,0.64,0.85,8.0,658615.94,1.0,0.84,B,0.95
12687,PRINCIPAL COTA,BLS10077125,2025.0,39,0.252241,58669.67,14798.9,0.0016,0.7475,6955.5,0.47,0.85,6.0,658616.41,1.0,0.82,B,0.95
20596,PRINCIPAL COTA,DAE09118025,2025.0,39,0.249124,27334.21,6809.61,0.0007,0.8974,5720.1,0.84,0.85,12.0,658617.25,1.0,0.86,B,0.95
18958,PRINCIPAL COTA,DAE04189025,2025.0,39,0.237831,18474.11,4393.72,0.0005,0.938,2460.5,0.56,0.85,9.6,658617.81,1.0,0.88,B,0.95
13799,PRINCIPAL COTA,DAB04547025,2025.0,39,0.234872,10959.64,2574.11,0.0003,0.9711,1209.8,0.47,0.85,6.857142857142857,658618.28,1.0,0.89,B,0.95
11989,PRINCIPAL COTA,BLS00459125,2025.0,39,0.234491,43014.61,10086.54,0.0011,0.8351,2723.4,0.27,0.85,3.0,658618.55,0.8,0.85,B,0.95
11097,PRINCIPAL COTA,BLS00056125,2025.0,39,0.23411,36373.28,8515.35,0.0009,0.8639,6386.5,0.75,0.85,6.0,658619.3,1.0,0.85,B,0.95
13013,PRINCIPAL COTA,BWS40078125,2025.0,39,0.230506,22349.73,5151.75,0.0006,0.9251,1854.6,0.36,0.85,4.0,658619.66,1.0,0.87,B,0.95
10166,PRINCIPAL COTA,BHS10133125,2025.0,39,0.229776,109016.48,25049.37,0.0028,0.5847,19037.5,0.76,0.85,12.0,658620.42,1.0,0.77,A,0.98
13508,PRINCIPAL COTA,DAB02882025,2025.0,39,0.229776,33364.46,7666.35,0.0008,0.8799,5826.4,0.76,0.85,12.0,658621.18,1.0,0.86,B,0.95
21544,PRINCIPAL COTA,DAR02122025,2025.0,39,0.228789,87994.63,20132.2,0.0022,0.6611,7851.6,0.39,0.85,4.0,658621.57,1.0,0.79,A,0.98
11668,PRINCIPAL COTA,BLS00267125,2025.0,39,0.228507,34460.5,7874.47,0.0009,0.8747,3779.7,0.48,0.86,8.0,658622.05,1.0,0.86,B,0.95
14313,PRINCIPAL COTA,DAB08051025,2025.0,39,0.228469,26959.71,6159.46,0.0007,0.9058,3387.7,0.55,0.86,6.0,658622.6,1.0,0.88,B,0.95
14217,PRINCIPAL COTA,DAB08011025,2025.0,39,0.226686,16785.76,3805.1,0.0004,0.9492,2283.1,0.6,0.86,6.0,658623.2,1.0,0.89,B,0.95
4677,PRINCIPAL COTA,BCE00654125,2025.0,39,0.224987,56104.83,12622.86,0.0014,0.7937,3660.6,0.29,0.86,4.0,658623.49,1.0,0.84,B,0.95
12381,PRINCIPAL COTA,BLS00644125,2025.0,39,0.22459,22887.59,5140.32,0.0006,0.9257,3855.2,0.75,0.86,12.0,658624.24,1.0,0.88,B,0.95
13613,PRINCIPAL COTA,DAB02946025,2025.0,39,0.22459,17678.37,3970.39,0.0004,0.9456,3017.5,0.76,0.86,12.0,658625.0,1.0,0.89,B,0.95
14105,PRINCIPAL COTA,DAB04946025,2025.0,39,0.222392,10488.12,2332.47,0.0003,0.975,1749.4,0.75,0.86,12.0,658625.75,1.0,0.89,B,0.95
14506,PRINCIPAL COTA,DAB08118025,2025.0,39,0.221444,44714.65,9901.79,0.0011,0.8395,7723.4,0.78,0.86,12.0,658626.53,1.0,0.85,B,0.95
4996,PRINCIPAL COTA,BCE00919125,2025.0,39,0.220955,31557.63,6972.82,0.0008,0.8911,2998.3,0.43,0.86,4.0,658626.96,1.0,0.87,B,0.95
15206,PRINCIPAL COTA,DAB09056025,2025.0,39,0.220854,16379.87,3617.56,0.0004,0.9524,1881.1,0.52,0.86,6.0,658627.48,1.0,0.89,B,0.95
5449,PRINCIPAL COTA,BCS00034125,2025.0,39,0.220357,38759.83,8541.0,0.0009,0.863,4526.7,0.53,0.86,8.0,658628.01,1.0,0.86,B,0.95
20539,PRINCIPAL COTA,DAE09012025,2025.0,39,0.219414,24934.54,5470.99,0.0006,0.9161,1969.6,0.36,0.86,4.8,658628.37,1.0,0.88,B,0.95
22120,PRINCIPAL COTA,DAR02804025,2025.0,39,0.21597,38395.79,8292.34,0.0009,0.8666,3565.7,0.43,0.87,7.199999999999999,658628.8,1.0,0.87,B,0.95
14297,PRINCIPAL COTA,DAB08037025,2025.0,39,0.214916,33506.24,7201.03,0.0008,0.8871,3528.5,0.49,0.87,8.0,658629.29,1.0,0.88,B,0.95
15198,PRINCIPAL COTA,DAB09037025,2025.0,39,0.214916,20295.71,4361.87,0.0005,0.939,2137.3,0.49,0.87,8.0,658629.78,1.0,0.89,B,0.95
1491,PRINCIPAL COTA,BAC00037125,2025.0,39,0.214782,43485.85,9339.98,0.001,0.8521,8125.8,0.87,0.87,12.0,658630.65,1.0,0.86,B,0.95
10368,PRINCIPAL COTA,BLE00100125,2025.0,39,0.213498,36291.55,7748.17,0.0009,0.8774,3409.2,0.44,0.87,6.0,658631.09,1.0,0.87,B,0.95
13960,PRINCIPAL COTA,DAB04788025,2025.0,39,0.211397,10452.05,2209.53,0.0002,0.9766,1833.9,0.83,0.87,12.0,658631.92,1.0,0.9,B,0.95
27839,PRINCIPAL COTA,DLS00070189,2025.0,39,0.210958,3669.3,774.07,0.0001,0.9961,549.6,0.71,0.87,9.0,658632.63,1.0,0.91,B,0.95
25982,PRINCIPAL COTA,DCS00759137,2025.0,39,0.210664,83193.0,17525.77,0.0019,0.7085,14546.4,0.83,0.87,12.0,658633.46,1.0,0.82,B,0.95
16710,PRINCIPAL COTA,DAC00174025,2025.0,39,0.210664,56291.03,11858.49,0.0013,0.8126,9842.5,0.83,0.87,12.0,658634.29,1.0,0.85,B,0.95
25602,PRINCIPAL COTA,DCS00343189,2025.0,39,0.210664,10487.92,2209.43,0.0002,0.9768,1833.8,0.83,0.87,12.0,658635.12,1.0,0.9,B,0.95
