,store_name,product_ref,año,Semana,semana_num,num_facturas,EMA,demanda_ajustada,desviacion_ema%,coef_ventas,producto_costo_unitario
156,SUCURSAL CALI,AHQ80W90050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,21741.5
157,SUCURSAL CALLE 6,AHQ80W90050,2025.0,2025-09-09 00:00:00,37,0.0,0.002661,0.0,11425.15,0.0,21741.5
158,SUCURSAL MEDELLIN,AHQ80W90050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,21741.5
159,SUCURSAL NORTE,AHQ80W90050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,21741.5
160,SUCURSAL VALLADOLID,AHQ80W90050,2025.0,2025-09-09 00:00:00,37,0.0,0.000236,0.0,1013.61,0.0,21741.5
161,PRINCIPAL COTA,AHQ85W14030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,17680.84
162,SUCURSAL BARRANQUILLA,AHQ85W14030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,17680.84
163,SUCURSAL BUCARAMANGA,AHQ85W14030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,17680.84
164,SUCURSAL CALI,AHQ85W14030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,17680.84
165,SUCURSAL CALLE 6,AHQ85W14030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,17680.84
166,SUCURSAL MEDELLIN,AHQ85W14030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,17680.84
167,SUCURSAL NORTE,AHQ85W14030,2025.0,2025-09-09 00:00:00,37,0.0,0.035939,0.0,0.76,12.0,17680.84
168,SUCURSAL VALLADOLID,AHQ85W14030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,17680.84
169,PRINCIPAL COTA,AHQ85W14050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,22075.24
170,SUCURSAL BARRANQUILLA,AHQ85W14050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,22075.24
171,SUCURSAL BUCARAMANGA,AHQ85W14050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,22075.24
172,SUCURSAL CALI,AHQ85W14050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,22075.24
173,SUCURSAL CALLE 6,AHQ85W14050,2025.0,2025-09-09 00:00:00,37,0.0,0.003602,0.0,15471.22,0.0,22075.24
174,SUCURSAL MEDELLIN,AHQ85W14050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,22075.24
175,SUCURSAL NORTE,AHQ85W14050,2025.0,2025-09-09 00:00:00,37,0.0,0.640252,0.0,0.69,12.0,22075.24
176,SUCURSAL VALLADOLID,AHQ85W14050,2025.0,2025-09-09 00:00:00,37,0.0,0.018218,0.0,78225.48,0.0,22075.24
177,0,AHQMATIC050,0.0,0,0,0.0,0.0,0.0,0.0,0.0,11277.57
