,store_name,product_ref,año,semana_num,EMA,demanda_ajustada,producto_costo_unitario
306920,PRINCIPAL COTA,BLS00239125,2025.0,36,0.0,0.0,171891.59
307185,PRINCIPAL COTA,BLS00254125,2025.0,36,0.0,0.0,12300.35
307503,PRINCIPAL COTA,BLS00268125,2025.0,36,0.0,0.0,36023.65
307556,PRINCIPAL COTA,BLS00278125,2025.0,36,0.0,0.0,27907.43
307927,PRINCIPAL COTA,BLS00296125,2025.0,36,0.0,0.0,22243.0
308245,PRINCIPAL COTA,BLS00344125,2025.0,36,0.0,0.0,80540.34
309888,PRINCIPAL COTA,BLS00475125,2025.0,36,0.0,0.0,39022.71
311955,PRINCIPAL COTA,BLS00600125,2025.0,36,0.0,0.0,68051.3
312856,PRINCIPAL COTA,BLS00669125,2025.0,36,0.0,0.0,46133.96
314181,PRINCIPAL COTA,BLS10037125,2025.0,36,0.0,0.0,18135.14
314499,PRINCIPAL COTA,BLS10052125,2025.0,36,0.0,0.0,13718.25
315082,PRINCIPAL COTA,BLS10213125,2025.0,36,0.0,0.0,7918.29
317308,PRINCIPAL COTA,BWS20081125,2025.0,36,0.0,0.0,66874.93
318262,PRINCIPAL COTA,DAB02013025,2025.0,36,0.0,0.0,92726.4
320541,PRINCIPAL COTA,DAB02852025,2025.0,36,0.0,0.0,14416.91
323509,PRINCIPAL COTA,DAB04654025,2025.0,36,0.0,0.0,22219.78
323615,PRINCIPAL COTA,DAB04666025,2025.0,36,0.0,0.0,8104.21
324039,PRINCIPAL COTA,DAB04772025,2025.0,36,0.0,0.0,8017.17
327749,PRINCIPAL COTA,DAB08114025,2025.0,36,0.0,0.0,17669.9
328279,PRINCIPAL COTA,DAB08134025,2025.0,36,0.0,0.0,26152.35
328438,PRINCIPAL COTA,DAB08138025,2025.0,36,0.0,0.0,69060.46
328597,PRINCIPAL COTA,DAB08146025,2025.0,36,0.0,0.0,50834.99
330346,PRINCIPAL COTA,DAB08222025,2025.0,36,0.0,0.0,27932.8
330823,PRINCIPAL COTA,DAB08253025,2025.0,36,0.0,0.0,62259.07
332413,PRINCIPAL COTA,DAB09086025,2025.0,36,0.0,0.0,29382.28
332572,PRINCIPAL COTA,DAB09111025,2025.0,36,0.0,0.0,21184.26
332625,PRINCIPAL COTA,DAB09114025,2025.0,36,0.0,0.0,16934.68
332890,PRINCIPAL COTA,DAB09144025,2025.0,36,0.0,0.0,21988.1
332996,PRINCIPAL COTA,DAB09146025,2025.0,36,0.0,0.0,21807.67
334109,PRINCIPAL COTA,DAB09240025,2025.0,36,0.0,0.0,22728.53
334533,PRINCIPAL COTA,DAB09271025,2025.0,36,0.0,0.0,30724.96
335169,PRINCIPAL COTA,DAB12690025,2025.0,36,0.0,0.0,47125.89
335964,PRINCIPAL COTA,DAB14690025,2025.0,36,0.0,0.0,16315.8
336070,PRINCIPAL COTA,DAB14805025,2025.0,36,0.0,0.0,13640.47
336123,PRINCIPAL COTA,DAB14852025,2025.0,36,0.0,0.0,20475.91
336388,PRINCIPAL COTA,DAB18056025,2025.0,36,0.0,0.0,43145.61
336441,PRINCIPAL COTA,DAB18059025,2025.0,36,0.0,0.0,82587.07
336812,PRINCIPAL COTA,DAB18184025,2025.0,36,0.0,0.0,45431.65
337395,PRINCIPAL COTA,DAB19009025,2025.0,36,0.0,0.0,31620.38
337819,PRINCIPAL COTA,DAB22881025,2025.0,36,0.0,0.0,60642.18
339833,PRINCIPAL COTA,DAC00066020,2025.0,36,0.0,0.0,8000.0
340257,PRINCIPAL COTA,DAC00070020,2025.0,36,0.0,0.0,8200.0
341264,PRINCIPAL COTA,DAC00093020,2025.0,36,0.0,0.0,6797.14
342112,PRINCIPAL COTA,DAC00121020,2025.0,36,0.0,0.0,8017.2
342589,PRINCIPAL COTA,DAC00139020,2025.0,36,0.0,0.0,7545.6
342907,PRINCIPAL COTA,DAC00153020,2025.0,36,0.0,0.0,7498.44
344603,PRINCIPAL COTA,DAC00210025,2025.0,36,0.0,0.0,17200.65
351175,PRINCIPAL COTA,DAE01054118,2025.0,36,0.0,0.0,14150.0
352341,PRINCIPAL COTA,DAE01085139,2025.0,36,0.0,0.0,7300.0
355945,PRINCIPAL COTA,DAE02098025,2025.0,36,0.0,0.0,87319.72
359337,PRINCIPAL COTA,DAE02953025,2025.0,36,0.0,0.0,21043.68
359496,PRINCIPAL COTA,DAE02988189,2025.0,36,0.0,0.0,48474.0
363312,PRINCIPAL COTA,DAE04355025,2025.0,36,0.0,0.0,5200.0
365909,PRINCIPAL COTA,DAE05101004,2025.0,36,0.0,0.0,8600.0
370785,PRINCIPAL COTA,DAE06544122,2025.0,36,0.0,0.0,7087.6
371474,PRINCIPAL COTA,DAE06651115,2025.0,36,0.0,0.0,3772.05
373965,PRINCIPAL COTA,DAE06786189,2025.0,36,0.0,0.0,5117.76
377516,PRINCIPAL COTA,DAE08142025,2025.0,36,0.0,0.0,36760.07
377728,PRINCIPAL COTA,DAE09001025,2025.0,36,0.0,0.0,41677.76
378046,PRINCIPAL COTA,DAE09048025,2025.0,36,0.0,0.0,26082.02
378364,PRINCIPAL COTA,DAE09142025,2025.0,36,0.0,0.0,10031.0
378470,PRINCIPAL COTA,DAE09155025,2025.0,36,0.0,0.0,25295.26
378629,PRINCIPAL COTA,DAE09194025,2025.0,36,0.0,0.0,26483.73
379000,PRINCIPAL COTA,DAE10976122,2025.0,36,0.0,0.0,9360.0
379371,PRINCIPAL COTA,DAE12574025,2025.0,36,0.0,0.0,33661.24
379477,PRINCIPAL COTA,DAE14190025,2025.0,36,0.0,0.0,8310.72
382445,PRINCIPAL COTA,DAP02988025,2025.0,36,0.0,0.0,69409.47
382869,PRINCIPAL COTA,DAP08109025,2025.0,36,0.0,0.0,20156.95
383187,PRINCIPAL COTA,DAP08175025,2025.0,36,0.0,0.0,136856.74
383399,PRINCIPAL COTA,DAP08203189,2025.0,36,0.0,0.0,29930.27
383664,PRINCIPAL COTA,DAP09046025,2025.0,36,0.0,0.0,9441.73
383717,PRINCIPAL COTA,DAP09109025,2025.0,36,0.0,0.0,6270.0
385837,PRINCIPAL COTA,DAR02139025,2025.0,36,0.0,0.0,61177.5
386579,PRINCIPAL COTA,DAR02239025,2025.0,36,0.0,0.0,52537.85
387056,PRINCIPAL COTA,DAR02304025,2025.0,36,0.0,0.0,47578.62
387162,PRINCIPAL COTA,DAR02315025,2025.0,36,0.0,0.0,65496.9
