,store_name,product_ref,año,Semana,semana_num,num_facturas,EMA,demanda_ajustada,desviacion_ema%,coef_ventas,lost_sales,producto_costo_unitario
115,SUCURSAL CALLE 6,AHQ80W90050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,21741.5
116,SUCURSAL MEDELLIN,AHQ80W90050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,21741.5
117,SUCURSAL NORTE,AHQ80W90050,2025.0,2025-09-23 00:00:00,39,1.0,0.60059,3.0,27826.79,0.0,0.0,21741.5
118,SUCURSAL VALLADOLID,AHQ80W90050,2025.0,2025-09-23 00:00:00,39,1.0,0.200197,1.0,9275.51,0.0,0.0,21741.5
119,PRINCIPAL COTA,AHQ85W14030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,17680.84
120,SUCURSAL BARRANQUILLA,AHQ85W14030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,17680.84
121,SUCURSAL BUCARAMANGA,AHQ85W14030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,17680.84
122,SUCURSAL CALI,AHQ85W14030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,17680.84
123,SUCURSAL CALLE 6,AHQ85W14030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,17680.84
124,SUCURSAL MEDELLIN,AHQ85W14030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,17680.84
125,SUCURSAL NORTE,AHQ85W14030,2025.0,2025-09-23 00:00:00,39,0.0,0.021672,0.0,1.26,23.0,0.0,17680.84
126,SUCURSAL VALLADOLID,AHQ85W14030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,17680.84
127,PRINCIPAL COTA,AHQ85W14050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,22075.24
128,SUCURSAL BARRANQUILLA,AHQ85W14050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,22075.24
129,SUCURSAL BUCARAMANGA,AHQ85W14050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,22075.24
130,SUCURSAL CALI,AHQ85W14050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,22075.24
131,SUCURSAL CALLE 6,AHQ85W14050,2025.0,2025-09-23 00:00:00,39,0.0,0.002502,0.0,1.34,23.0,0.0,22075.24
132,SUCURSAL MEDELLIN,AHQ85W14050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,22075.24
133,SUCURSAL NORTE,AHQ85W14050,2025.0,2025-09-23 00:00:00,39,0.0,0.410387,0.0,1.27,23.0,0.0,22075.24
134,SUCURSAL VALLADOLID,AHQ85W14050,2025.0,2025-09-23 00:00:00,39,0.0,0.012514,0.0,1.34,23.0,0.0,22075.24
135,0,AHQMATIC050,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,11277.57
136,PRINCIPAL COTA,AHR85W14030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,11872.73
137,SUCURSAL BARRANQUILLA,AHR85W14030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,11872.73
138,SUCURSAL BUCARAMANGA,AHR85W14030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,11872.73
